Date,Open,High,Low,Close,Adj Close,Volume
2019-07-23,80,80,80,80,80,0
2019-07-24,80.2636,80.2636,80.2636,80.2636,80.2636,0
2019-07-25,79.925,79.925,79.925,79.925,79.925,0
2019-07-26,79.99,80.12,79.99,80.065,80.065,110
2019-07-29,72.22,72.22,71.85,71.85,71.85,351
2019-07-30,71.93,71.96,71.44,71.44,71.44,42
2019-07-31,71.42,71.63,71.42,71.55,71.55,37
2019-08-01,71.45,72.01,71.45,71.99,71.99,4340
2019-08-02,70.27,70.28,69.64,69.64,69.64,2401
2019-08-05,69.03,69.03,67.95,67.95,67.95,1437
2019-08-06,67.71,68.1,67.5,67.5,67.5,5888
2019-08-07,68.48,68.48,67.56,67.56,67.56,164
2019-08-08,68.45,69.04,68.34,69.01,69.01,6330
2019-08-09,69.23,69.23,68.53,68.53,68.53,1114
2019-08-12,69.12,69.12,68.11,68.11,68.11,342
2019-08-13,68.13,68.94,67.82,68.91,68.91,748
2019-08-14,68.95,68.96,67.86,67.86,67.86,262
2019-08-15,67.92,67.92,67.27,67.73,67.73,1735
2019-08-16,68.14,68.7,68.14,68.7,68.7,355
2019-08-19,69.47,69.49,69.24,69.49,69.49,204
2019-08-20,69.58,69.63,69.31,69.31,69.31,734
2019-08-21,69.62,69.63,69.44,69.63,69.63,231
2019-08-22,69.81,69.81,69.3,69.34,69.34,1255
2019-08-23,69.82,69.82,68.37,68.37,68.37,4250
2019-08-26,68.26,68.6,68.26,68.46,68.46,140
2019-08-27,68.45,68.97,68.45,68.76,68.76,1049
2019-08-28,68.71,68.87,68.43,68.87,68.87,1000
2019-08-29,68.88,69.77,68.88,69.77,69.77,400
2019-08-30,69.95,70.44,69.95,70.24,70.24,57
2019-09-02,70.21,70.46,70.21,70.31,70.31,8
2019-09-03,70.2,70.2,70.06,70.13,70.13,46
2019-09-04,70.7,70.7,70.48,70.55,70.55,771
2019-09-05,71.12,71.38,71.03,71.38,71.38,278
2019-09-06,71.39,71.55,71.31,71.5,71.5,7875
2019-09-09,71.81,71.81,71.5,71.5,71.5,1861
2019-09-10,71.36,71.45,71.21,71.21,71.21,5408
2019-09-11,71.67,72.19,71.67,72.19,72.19,342
2019-09-12,72.43,72.89,72.16,72.36,72.36,5363
2019-09-13,72.22,72.53,72.22,72.42,72.42,6226
2019-09-16,72.03,72.55,72,72.48,72.48,13375
2019-09-17,72.27,72.27,72.14,72.14,72.14,1340
2019-09-18,72.22,72.25,72.03,72.03,72.03,3515
2019-09-19,72,72.63,72,72.62,72.62,5496
2019-09-20,72.37,72.85,72.37,72.73,72.73,13403
2019-09-23,72.61,72.61,72.37,72.37,72.37,948
2019-09-24,72.61,72.63,72.21,72.21,72.21,42659
2019-09-25,71.89,72.08,71.51,72.08,72.08,2962
2019-09-26,72.19,72.61,72.19,72.26,72.26,371
2019-09-27,72.54,72.67,72.45,72.45,72.45,1534
2019-09-30,72.19,72.57,72.19,72.57,72.57,3305
2019-10-01,72.9,72.9,71.91,71.91,71.91,5694
2019-10-02,71.65,71.65,70.1,70.1,70.1,2419
2019-10-04,70.54,71.08,70.34,71.08,71.08,4612
2019-10-07,71.09,71.34,71.02,71.34,71.34,15234
2019-10-08,71.34,71.34,70.5,70.51,70.51,2479
2019-10-09,70.4,70.79,70.4,70.7,70.7,5578
2019-10-10,70.62,71.23,70.39,71.23,71.23,2953
2019-10-11,71.43,72.29,71.42,72.29,72.29,1679
2019-10-14,71.98,71.98,71.58,71.89,71.89,339
2019-10-15,72.16,72.44,72.09,72.44,72.44,843
2019-10-16,72.37,72.41,72.21,72.21,72.21,665
2019-10-17,72.08,72.34,72.05,72.05,72.05,392
2019-10-18,71.96,71.98,71.73,71.73,71.73,348
2019-10-21,71.75,72.1,71.75,72.07,72.07,1297
2019-10-22,72.2,72.31,72.19,72.28,72.28,508
2019-10-23,72.02,72.27,72,72.27,72.27,762
2019-10-24,72.43,72.7,72.41,72.7,72.7,1043
2019-10-25,72.64,72.99,72.39,72.98,72.98,445
2019-10-28,73.08,73.34,72.99,73.24,73.24,1872
2019-10-29,73.32,73.32,73.09,73.22,73.22,1664
2019-10-30,73.07,73.13,72.9,73,73,8927
2019-10-31,73.11,73.11,72.61,72.63,72.63,938
2019-11-01,73,73.4,72.97,73.3,73.3,2573
2019-11-04,73.71,74.07,73.71,74,74,3691
2019-11-05,74.18,74.49,74.11,74.44,74.44,8995
2019-11-06,74.37,74.43,74.16,74.43,74.43,4773
2019-11-07,74.78,75.06,74.71,75.02,75.02,1602
